sep=;
Test a on a int array: Linux Java 1.8.0_45
UNSORTED
;MSORT_BASIC;MSORT_NO_GAR;MSORT_ALT;PAR_MSORT;QSORT_BASIC;QSORT_HOARE;PAR_QSORT;HSORT;JAVASORT;JAVASORT_PAR
100000;    17.68;    24.43;    17.17;    20.63;    30.65;    34.52;    34.29;    23.11;     8.77;    15.07;
200000;    37.58;    29.05;    21.87;    10.21;    28.68;    31.32;    19.86;    34.18;    18.74;    38.61;
300000;    60.13;    46.34;    35.93;    16.84;    43.34;    48.27;    27.17;    49.78;    28.64;     8.86;
400000;    81.11;    60.67;    32.75;    23.41;    60.59;    65.36;    36.44;    68.46;    39.30;    14.04;
500000;   109.32;    79.42;    30.19;    35.26;    82.87;    82.72;    38.82;    98.15;    50.01;    17.19;
600000;   125.11;    95.29;    47.71;    42.97;    97.14;   102.41;    80.14;   111.48;    62.31;    17.57;
700000;   150.40;   112.97;    72.11;    36.48;   109.35;   117.88;    67.19;   163.52;    71.24;    20.02;
800000;   170.98;   129.02;    97.04;    44.59;   129.52;   137.00;    71.30;   165.67;    83.10;    25.86;
900000;   195.43;   146.83;   121.92;    58.62;   145.96;   153.02;    91.77;   177.89;    95.14;    24.09;
1000000;   219.07;   164.63;   154.23;    54.46;   162.32;   171.14;    76.31;   197.37;   104.44;    28.49;
1100000;   236.48;   190.49;   161.00;    57.62;   174.32;   188.85;    93.46;   219.77;   117.67;    33.01;
1200000;   267.26;   213.22;   158.38;    78.13;   195.87;   207.29;    97.96;   275.81;   128.67;    36.58;
1300000;   290.50;   247.83;   155.30;    71.29;   213.09;   223.60;   117.96;   262.38;   139.19;    36.73;
1400000;   304.60;   235.20;   150.66;    75.16;   226.02;   245.28;   156.42;   301.10;   149.89;    40.63;
1500000;   330.31;   255.24;   151.93;    83.37;   245.91;   262.04;   121.52;   332.82;   167.79;    44.40;
1600000;   350.20;   281.07;   152.58;   101.15;   264.70;   280.87;   149.63;   356.60;   175.14;    44.94;
1700000;   370.36;   290.78;   140.66;   105.07;   286.82;   297.95;   156.51;   373.99;   186.31;    49.02;
1800000;   391.82;   304.64;   139.03;   103.69;   305.79;   319.77;   187.72;   428.62;   197.35;    54.53;
1900000;   437.63;   322.29;   134.92;   118.99;   320.77;   338.75;   187.70;   416.58;   209.20;    50.88;
2000000;   440.71;   466.48;   228.32;   123.98;   426.64;   355.82;   177.23;   454.58;   220.09;    61.08;

ALMOST_SORTED
;MSORT_BASIC;MSORT_NO_GAR;MSORT_ALT;PAR_MSORT;QSORT_BASIC;QSORT_HOARE;PAR_QSORT;HSORT;JAVASORT;JAVASORT_PAR
100000;     8.12;     3.69;     5.00;     2.07;     7.66;     6.63;     6.38;    10.29;     9.96;     5.96;
200000;    16.82;     7.65;     9.47;     3.73;    17.51;    13.15;    11.93;    21.59;    19.33;    10.24;
300000;    26.02;    12.42;    13.86;     5.75;    23.28;    18.55;    20.06;    32.46;     3.27;    11.22;
400000;    34.62;    16.38;    22.04;     8.69;    31.46;    25.06;    24.76;    44.13;     3.35;     2.18;
500000;    42.87;    19.46;    27.93;     9.12;    39.62;    31.52;    35.61;    55.46;     5.04;     1.64;
600000;    52.29;    24.34;    33.94;    11.26;    48.94;    38.60;    45.15;    67.92;     4.66;     2.53;
700000;    65.43;    28.84;    36.90;    17.77;    54.80;    44.06;    52.65;    80.43;     9.74;     4.32;
800000;    75.96;    32.90;    39.74;    13.90;    65.20;    50.86;    53.54;    92.46;     6.63;     3.57;
900000;    86.49;    37.52;    46.00;    17.57;    74.98;    69.63;    64.16;   164.16;    14.86;     4.87;
1000000;   153.83;    74.36;    77.69;    19.70;   123.72;    95.30;    70.20;   177.59;    12.40;     5.28;
1100000;   174.14;    80.42;    86.38;    21.20;   140.39;   106.60;    72.62;   199.57;    12.37;     6.45;
1200000;   116.49;    57.14;    59.90;    21.70;   101.75;    79.04;    78.96;   141.97;     9.44;     6.04;
1300000;   138.76;    59.92;    73.43;    30.17;   111.47;    86.48;    93.09;   169.33;    13.04;    11.04;
1400000;   149.91;    61.70;    77.19;    27.57;   161.51;   133.70;    99.82;   167.82;    15.47;     7.87;
1500000;   147.87;    65.11;    85.46;    27.43;   128.83;    99.32;    88.47;   179.26;    17.11;     9.11;
1600000;   156.25;    70.00;    93.53;    32.09;   133.64;   105.22;   113.48;   190.94;    17.75;    11.86;
1700000;   163.69;    72.50;   100.96;    25.58;   143.59;   109.96;   108.59;   252.40;    31.91;    10.57;
1800000;   213.34;    76.30;   108.68;    33.66;   146.53;   118.50;   193.20;   220.21;    14.06;    11.07;
1900000;   184.02;    80.21;   116.31;    34.56;   160.58;   122.92;   124.14;   231.69;    26.29;    11.96;
2000000;   196.82;    84.37;   122.17;    40.26;   165.33;   132.03;   137.47;   249.79;    23.84;    14.77;

REPEATED_VALUES
;MSORT_BASIC;MSORT_NO_GAR;MSORT_ALT;PAR_MSORT;QSORT_BASIC;QSORT_HOARE;PAR_QSORT;HSORT;JAVASORT;JAVASORT_PAR
100000;    17.70;    13.87;     7.44;     7.57;    13.41;    14.05;     8.33;    15.03;     8.65;     2.78;
200000;    37.46;    29.31;    22.24;    12.77;    28.09;    29.81;    18.66;    31.88;    18.39;     5.49;
300000;    57.86;    45.59;    35.58;    16.88;    44.13;    45.28;    22.49;    50.05;    28.98;     8.83;
400000;    80.20;    61.73;    33.21;    22.51;    59.96;    62.11;    33.77;    68.61;    39.26;    11.27;
500000;    99.91;    77.59;    29.62;    26.58;    75.56;    78.34;    50.82;    89.49;    49.59;    12.85;
600000;   123.42;    95.07;    48.08;    35.51;    91.64;    95.86;    59.70;   106.80;    60.82;    16.73;
700000;   140.34;   110.86;    71.78;    42.19;   108.43;   112.25;    60.64;   129.42;    71.53;    18.46;
800000;   162.63;   128.11;    96.96;    46.25;   126.55;   129.54;    99.21;   150.33;    82.16;    19.03;
900000;   266.51;   212.56;   179.26;    61.75;   194.75;   147.29;   101.52;   170.03;    93.89;    24.36;
1000000;   217.60;   163.64;   149.06;    54.99;   157.96;   164.92;    97.82;   203.88;   106.39;    23.64;
1100000;   235.97;   183.51;   159.70;    65.93;   175.77;   181.81;   114.75;   215.48;   116.08;    28.98;
1200000;   268.00;   200.05;   157.64;    76.21;   194.36;   198.95;   101.30;   240.59;   127.70;    31.66;
1300000;   278.37;   215.18;   153.17;    78.34;   211.88;   214.27;   106.26;   266.24;   139.43;    39.08;
1400000;   302.20;   235.57;   150.70;    93.89;   227.37;   231.20;   115.84;   292.31;   150.33;    34.54;
1500000;   352.33;   319.44;   217.62;    89.10;   244.99;   250.28;   145.40;   356.65;   162.41;    42.43;
1600000;   349.45;   269.25;   144.93;    99.72;   259.49;   267.90;   199.34;   340.24;   174.96;    44.53;
1700000;   377.40;   286.66;   145.64;    90.45;   278.04;   287.85;   156.59;   363.31;   183.47;    45.85;
1800000;   393.22;   307.28;   140.00;   112.32;   286.13;   301.59;   171.30;   403.16;   196.65;    59.02;
1900000;   416.95;   323.33;   134.09;   115.84;   317.36;   324.97;   221.18;   415.73;   207.10;    51.33;
2000000;   442.05;   343.26;   131.60;   116.76;   325.89;   342.97;   247.51;   445.07;   217.73;    59.13;

